CODE,COMPANY NAME,STATUS,LAST PRICE,OUTSTANDING SHARES,MARKET CAPITALIZATION,SECTOR,SUBSECTOR,FISCAL YEAR,CASH AND EQUIVALENTS,CURRENT ASSETS,FIXED ASSETS,LONG-TERM INVESTMENTS,TOTAL ASSETS,CURRENT DEBT,CURRENT LIABILITIES,LONG-TERM DEBT,TOTAL LIABILITIES,EQUITY ATTRIBUTABLE TO PARENT,TOTAL EQUITY,REVENUE,OPERATING INCOME,INCOME ON EQUITY INVESTMENTS,NET INCOME ATTRIBUTABLE TO PARENT,TOTAL NET INCOME,DEPRECIATION AND AMORTIZATION,CASH FLOW FROM OPERATING ACTIVITIES,CAPITAL EXPENDITURES,CASH FLOW FROM INVESTING ACTIVITIES,DEBT ISSUED,DEBT REPAID,STOCK BUYBACK,TOTAL DIVIDENDS PAID,CASH FLOW FROM FINANCING ACTIVITIES
FMETF,"First Metro Philippine Equity Exchange Traded Fund, Inc.",O,93.8,16851260,1580648188,ETF-Equity,ETF-Equity,January-December,,,,,1293494791,,,,5631772,1287863019,1287863019,314629764,,,306415304,306415304,,-20778060,,,,,,,-3385360
AUB,Asia United Bank Corporation,O,47,485310538,22809595286,Financials,Banks,January-December,,,1982000000,49682000000,273839000000,511000000,,15370000000,239956000000,33745000000,33883000000,14196000000,5651000000,,4530000000,4522000000,174800000,5145000000,-422000000,-29303000000,3246200000,-242000000,,-874000000,34027000000
BDO,"BDO Unibank, Inc.",O,98.5,4383335563,431758552956,Financials,Banks,January-December,,,45811000000,446541000000,3286810000000,,,198637000000,2914594000000,370582000000,372216000000,162473000000,59726000000,631000000,43197000000,43175000000,1564000000,59944000000,-4972000000,-270544000000,94154000000,-62228000000,,-5595000000,223081000000
BKR,Bright Kindle Resources & Investments Inc.,O,0.72,1528474000,1100501280,Financials,Other Financial Institutions,January-December,0,,42000000,,2604000000,1672000000,,,1674000000,930000000,930000000,700,-6870800,-107190700,-114061200,-114061200,1484581,79700,-60300,-60300,,,,,
BLFI,"BDO Leasing and Finance, Inc.",S,3.16,2162475312,6833421986,Financials,Other Financial Institutions,January-December,328000000,,1736000000,3541000000,28998000000,18298000000,,4639000000,23350000000,5648000000,5648000000,2933000000,242600000,,154200000,154200000,207100000,7624110800,-473846900,301366700,172614900000,-2868100000,,-216200000,-7850270500
BPI,Bank of the Philippine Islands,O,70.85,4513100378,319753161781,Financials,Banks,January-December,,,22844000000,360423000000,2191756000000,,,146425000000,1915628000000,272698000000,276128000000,102169000000,38025000000,,28465000000,28677000000,1309100000,60614000000,-13087000000,-106219000000,83384000000,5774000000,,-12167000000,61520000000
CHIB,China Banking Corporation,O,21.95,2685899812,58955500873,Financials,Banks,January-December,,,9003000000,246940000000,984225000000,44478000000,,37442000000,887420000000,96789000000,96805000000,48437000000,12262000000,185000000,10427000000,10435000000,320000000,5885000000,1393000000,-99554000000,24224800000,-164859900000,,-2364000000,78363000000
COL,"COL Financial Group, Inc.",O,17.5,476000000,8330000000,Financials,Other Financial Institutions,January-December,8630000000,,149000000,216000000,10149000000,21000000,,36000000,8403000000,1724000000,1746000000,1106438800,631435700,,458776200,458374800,14509692,-636168900,-50144900,-27636400,,,,-404600000,-432162600
CSB,"Citystate Savings Bank, Inc.",O,8.44,100000000,844000000,Financials,Banks,January-December,,,178000000,384000000,4280000000,37000000,,,3622000000,658000000,658000000,235412900,-50278500,,-54407900,-54407900,8500000,-140976900,-38584000,-352553500,,,,,-218046400
EIB-AB,"Export and Industry Bank, Inc.",S,,18937810160,1431689353,Financials,Banks,January-December,,3646100000,,,27664500000,,17493300000,,26990300000,674100000,674100000,570000000,,,-968400000,-968400000,162533333,2481733333,0,268133333,,,,,-2094266667
EW,East West Banking Corporation,O,7.43,2249975411,16717317304,Financials,Banks,January-December,,,5227000000,54053000000,384136000000,20229000000,,8157000000,332963000000,51172000000,51172000000,30882000000,9142000000,-354000000,7206000000,7206000000,504500000,5526000000,-300000000,-29144000000,3670000000,-1212000000,,,8977000000
FAF,First Abacus Financial Holdings Corporation,O,0.485,1193200000,578702000,Financials,Other Financial Institutions,January-December,138000000,,43000000,2301000000,5375000000,4409000000,,,4864000000,511000000,511000000,224554700,-416921600,,-472713500,-466574100,11151645,67746600,-7329600,-187773200,608515735,-454500000,,,363864800
FERRO,"Ferronoux Holdings, Inc.",O,2.58,261824002,675505925,Financials,Other Financial Institutions,January-December,79900,,,,137327400,,,,3221300,134106100,134106100,6653700,440900,,433500,433500,,5800,,,,,,,
FFI,"Filipino Fund, Inc.",O,6.11,50167397,306522796,Financials,Other Financial Institutions,January-December,,,,,237859071,,,,1612725,236246346,236246346,2760716,,,-2451622,-2451622,0,-3583305,0,0,,,,,0
I,"I-Remit, Inc.",O,1.03,611639122,629988296,Financials,Other Financial Institutions,January-December,1491000000,2386000000,25000000,13000000,2688000000,1145000000,1341000000,,1348000000,1341000000,1341000000,742681900,-138248500,2057500,-35135300,-35135300,13619600,-188887500,-21577200,-17720900,1561000000,151100000,,,-180000000
MBT,Metropolitan Bank & Trust Company,O,37.2,4497415555,167303858646,Financials,Banks,January-December,,,25650000000,565542000000,2376664000000,152078000000,,119119000000,2057584000000,304542000000,319080000000,116873000000,37462000000,868000000,27424000000,28255000000,886000000,1682000000,-3994000000,-171894000000,52499000000,-22000000000,-1000000,-4497000000,131918000000
MED,"MEDCO Holdings, Inc.",O,0.3,3159292441,947787732,Financials,Other Financial Institutions,January-December,14840100,,,43457300,59028100,,,,4665100,54363000,54363000,9432700,3983700,,3896800,3896800,,3860100,,,,,,,
MFC,Manulife Financial Corporation,O,610,1939463693,1183072852730,Financials,Other Financial Institutions,January-December,,,,,29002175980800,,,407532840000,26934601452000,2038659981600,2081884279200,2718668172000,230025549600,,174151137600,178466191200,6028275500,789249120000,,-319424608800,34926117600,-56469483000,-51116788800,-60558273600,-91870072800
NRCP,National Reinsurance Corporation of the Philippines,O,0.55,2123605600,1167983080,Financials,Other Financial Institutions,January-December,,,70000000,,11920000000,,,,6561000000,5360000000,5360000000,3632000000,301000000,,157000000,157000000,8993000,176187000,-13213000,-332293000,,,,,
NXGEN,NextGenesis Corporation,S,7,104013225,728092575,Financials,Banks,July-June,,,100,,123552000,,,,74963200,48588800,48588800,,-9599100,,-9599100,-9599100,,-2274400,,,,,,,2293100
PBB,Philippine Business Bank,O,9,643750094,5793750846,Financials,Banks,January-December,,,747000000,14287000000,110630000000,2159000000,,3324000000,97571000000,13059000000,13059000000,7422000000,1890000000,,1400000000,1400000000,43200000,13997431600,-359986400,-17237004000,2977500000,-1063600000,,-198000000,2041690700
PBC,Philippine Bank of Communications,O,19,480645163,9132258097,Financials,Banks,January-December,,,715000000,18177000000,100480000000,141000000,,8523000000,88895000000,11585000000,11585000000,5429000000,1577000000,0,1451000000,1451000000,138700000,1397921000,-117065000,-7449539000,293686100000,-297977800000,,,4110480000
PNB,Philippine National Bank,O,20.6,1525764850,31430755910,Financials,Banks,January-December,,,21052000000,180342000000,1091291000000,,,110068000000,939033000000,149346000000,152258000000,52072000000,10881000000,-76000000,9132000000,9206000000,643000000,6656000000,-3048000000,-42071000000,121179800000,-93437400000,,,59813000000
PSB,Philippine Savings Bank,O,48.8,426859416,20830739501,Financials,Banks,January-December,,,3259000000,48605000000,240328000000,5486000000,,12302000000,205541000000,34787000000,34787000000,17496000000,2820000000,117000000,2993000000,2993000000,281200000,6572000000,-255000000,-9004000000,-49753000000,47552000000,,-1152000000,974000000
PSE,"The Philippine Stock Exchange, Inc.",O,168,81650137,13717223016,Financials,Other Financial Institutions,January-December,3497000000,3634000000,1318000000,958000000,6263000000,18000000,654000000,55000000,1442000000,4823000000,4821000000,1290948900,565944200,46869300,682935900,682935900,118541900,704817600,-57558900,-250929300,,,,-747998300,-747998300
PTC,Philippine Trust Company,O,96.5,1000000000,96500000000,Financials,Banks,January-December,,,2760000000,87556000000,159107000000,197000000,,,133397000000,25709000000,25709000000,6571000000,867000000,,325000000,325000000,36000000,-2329000000,-142000000,8488000000,,,,,-767000000
RCB,Rizal Commercial Banking Corporation,O,17,1935628896,32905691232,Financials,Banks,January-December,,,11074000000,128232000000,715322000000,1489000000,,117870000000,630614000000,84689000000,84708000000,38328000000,7630000000,21000000,6390000000,6391000000,405000000,31002000000,-2746000000,-48643000000,23142000000,-32790000000,,-864000000,45009000000
SECB,Security Bank Corporation,O,106.5,753538887,80251891466,Financials,Banks,January-December,,,5719000000,206273000000,784390000000,51029000000,,79180000000,664435000000,119948000000,119955000000,45305000000,11478000000,13000000,10609000000,10609000000,470700000,9550000000,-1681000000,11111000000,2053000000,5420000000,,-2266000000,-14045000000
SLF,Sun Life Financial Inc.,O,1701,584676848,994535318448,Financials,Other Financial Institutions,January-December,,,,,10578630506400,,,148961551200,9646726452000,891703982400,892662883200,1240153780800,109130287200,,91501264800,91833192000,6222736000,315478363200,-4425696000,-200520909600,32307580800,-40790164800,-21833433600,-49420272000,-83830058400
UBP,"Union Bank of the Philippines, Inc.",O,54.5,1218471467,66406694952,Financials,Banks,January-December,,,6539000000,202027000000,754775000000,,,115905000000,659150000000,94923000000,95625000000,39352000000,15156000000,,14496000000,14480000000,316100000,433889000000,111000000,8884000000,944490200000,-528000000,,-4265000000,-387574000000
V,"Vantage Equities, Inc.",O,0.98,4199582266,4115590621,Financials,Other Financial Institutions,January-December,9725000000,,178000000,,10448000000,,,,391000000,9569000000,10056000000,1649781400,845909000,,662316400,733509400,19200000,-4073613800,-45058600,85407800,,-492900000,,,-431339500
AAA,Asia Amalgamated Holdings Corporation,S,1.61,799999981,1287999969,Holding Firms,Holding Firms,January-December,,300000,,,4000000,,24100000,,24100000,-20100000,-20100000,0,,,-761067,-761067,0,-961733,0,769333,,,,,0
ABA,"AbaCore Capital Holdings, Inc.",O,0.485,3185934029,1545178004,Holding Firms,Holding Firms,January-December,79000000,,584000000,8924000000,11792000000,167000000,,,3027000000,8645000000,8766000000,24862000,-105337000,-21319200,3212194600,3224137300,12131314,144540500,-38803400,130875000,1883630,17947000,-46600000,-607533200,-283641600
ABG,Asiabest Group International Inc.,O,9.36,300000000,2808000000,Holding Firms,Holding Firms,January-December,265608500,268406500,,,268406500,,1326800,,1326800,267079700,267079700,,3570600,,-1692500,-1692500,,-1306000,,253772,,,,,
AC,Ayala Corporation,O,785,627375842,492490035970,Holding Firms,Holding Firms,January-December,116026000000,615052000000,114532000000,515401000000,1367068000000,80764000000,407857000000,373827000000,851178000000,334056000000,515890000000,252194000000,38620000000,22157000000,32951000000,37605000000,19522000000,-544000000,-12319000000,-38999000000,,-2052000000,-18105000000,-11465000000,74418000000
AEV,"Aboitiz Equity Ventures, Inc.",O,46.85,5630225457,263776062660,Holding Firms,Holding Firms,January-December,50874000000,124425000000,225699000000,157541000000,588406000000,58540000000,98013000000,252250000000,371211000000,176481000000,217195000000,199628000000,31125000000,11502000000,22036000000,29443000000,11536000000,39028000000,-17943000000,-59669000000,44963000000,-23134000000,-44000000,-7435000000,7898000000
AGI,"Alliance Global Group, Inc.",O,6.72,9818634579,65981224371,Holding Firms,Holding Firms,January-December,57794000000,289403000000,124640000000,119245000000,609370000000,27743000000,97264000000,177017000000,313447000000,183530000000,295923000000,166922000000,36613000000,232000000,15886000000,24367000000,8179000000,24270000000,-9200000000,-38596000000,42201500000,-30658000000,-1543000000,-1498000000,13484000000
ALLHC,AyalaLand Logistics Holdings Corp.,O,1.68,6301591987,10586674538,Holding Firms,Holding Firms,January-December,647000000,,1354000000,10490000000,19627000000,5000000,,1721000000,8371000000,11134000000,11256000000,5613000000,823000000,,625000000,643000000,68980000,590117000,98628000,-3323027000,10600000,,,,2725761000
ANS,A. Soriano Corporation,O,6.21,2500000000,15525000000,Holding Firms,Holding Firms,January-December,10845000000,14162000000,2580000000,1614000000,20388000000,196000000,2529000000,217000000,3372000000,16437000000,17016000000,8240000000,1028000000,-348000000,-10316000000,-10248000000,279732000,679576000,-199920000,660600000,450000000,-633176600,-132699100,-309476400,-1075352100
APO,Anglo Philippine Holdings Corporation,O,0.49,3003302538,1471618244,Holding Firms,Holding Firms,January-December,27000000,311000000,43000000,8688000000,9897000000,10000000,3899000000,20000000,3928000000,5962000000,5969000000,25798900,-86111500,-358260500,-418068800,-418175200,28538600,200316600,19413500,-203077400,-53746700,-19356700,,,-37930700
ATN-AB,"ATN Holdings, Inc.",O,0.57,4500000000,2565000000,Holding Firms,Holding Firms,April-March,6000000,11000000,5000000,3474000000,3568000000,86000000,89000000,,1447000000,2121000000,2121000000,21233400,-464200,-2473200,-10819500,-10819500,4102400,1881500,-3891100,-451124000,30000000,1068573,,,450864800
BH,"BHI Holdings, Inc.",O,960,499987,479987520,Holding Firms,Holding Firms,January-December,441400,,,,103280500,,,,4844500,98436000,98436000,3000800,-86100,,-146200,-146200,,210700,,,,-100000,,,-100000
COSCO,"Cosco Capital, Inc.",O,5.2,7198253664,37430919053,Holding Firms,Holding Firms,January-December,25250000000,57741000000,46380000000,11685000000,143389000000,945000000,11500000000,26666000000,39803000000,74125000000,103586000000,167641000000,10749000000,-350000000,13017000000,17056000000,3326000000,16284000000,-5011000000,3881000000,10514400000,-2100000000,-153000000,-1853000000,-1917000000
DMC,"DMCI Holdings, Inc.",O,4.01,13277470000,53242654700,Holding Firms,Holding Firms,January-December,20885000000,114727000000,64115000000,15817000000,207997000000,18074000000,63657000000,34631000000,112694000000,76647000000,95303000000,82232000000,13973000000,1745000000,8471000000,12406000000,9096000000,19252000000,-17952000000,-17911000000,24787000000,-14107000000,-7000000,-6373000000,2207000000
FDC,Filinvest Development Corporation,O,7.97,8648462987,68928250006,Holding Firms,Holding Firms,January-December,76260000000,436706000000,50228000000,131703000000,642065000000,49547000000,95704000000,397710000000,506080000000,103323000000,135985000000,73503000000,9636000000,-358000000,12187000000,16062000000,4894000000,6644000000,-19306000000,-8110000000,26226000000,-15632000000,,-865000000,5632000000
FJP-AB,F & J Prince Holdings Corporation,O,3.425,481827653,1650259712,Holding Firms,Holding Firms,January-December,878000000,,8000000,765000000,1992000000,,,,36000000,1881000000,1956000000,82553500,38003800,-14425000,14787300,14933000,7971196,85786900,-4000,20951200,,,-830300,-27810600,-31024434
FPI,"Forum Pacific, Inc.",O,0.18,1838943246,331009784,Holding Firms,Holding Firms,January-December,376600,479100,,86543100,337692600,,22600,,4338100,333354500,333354500,,1961400,,-2022500,-2022500,,-2264100,,2515900,,,,,
GTCAP,"GT Capital Holdings, Inc.",O,455,215284587,97954487085,Holding Firms,Holding Firms,January-December,27121000000,,12743000000,25985000000,364955000000,17469000000,,109258000000,176924000000,175460000000,188031000000,204696000000,11355000000,13966000000,15832000000,20358000000,589000000,3979000000,-2681000000,-3698000000,5395000000,-5537000000,-1000000,-4877000000,7054000000
HI,"House of Investments, Inc.",O,3.35,776465281,2601158691,Holding Firms,Holding Firms,January-December,2812000000,20818000000,18862000000,7079000000,49472000000,11302000000,20931000000,3912000000,26226000000,14354000000,23246000000,33663000000,2109000000,279000000,716000000,1121000000,1036000000,605000000,-4141000000,-2954000000,2751900000,-1704000000,-6000000,-142000000,2997000000
JGS,"JG Summit Holdings, Inc.",O,62,7162841657,444096182734,Holding Firms,Holding Firms,January-December,86543000000,235739000000,280212000000,288079000000,937850000000,80246000000,254290000000,223858000000,524682000000,309052000000,413168000000,281996000000,38204000000,11449000000,25753000000,35929000000,32160000000,47263000000,-63314000000,-68195000000,51289000000,-34300000000,-166000000,-2665000000,28317000000
JOH,Jolliville Holdings Corporation,O,5.4,281500000,1520100000,Holding Firms,Holding Firms,January-December,183000000,,4014000000,1242000000,6135000000,809000000,,1339000000,3648000000,1804000000,2487000000,1038394500,135613200,-55000,54562300,36751700,81423334,-314295500,-455798400,518001900,-487408022,-8013693,,,-423715100
KPH-AB,"Keppel Philippines Holdings, Inc.",O,5.13,57618319,295581976,Holding Firms,Holding Firms,January-December,54000000,,0,242000000,1033000000,,,,10000000,655000000,1023000000,46433700,19613200,9671200,18194600,26705200,40688,8447500,-229200,9770800,,,-991100,-5780300,-6771400
LIHC,Lodestar Investment Holdings Corporation,O,0.67,3000000000,2010000000,Holding Firms,Holding Firms,January-December,235113700,240205700,,,240205700,,15600,,15600,240190000,240190000,,1999800,,-225900,-225900,,-1353500,,2200206,-500000,,,,280000
LPZ,Lopez Holdings Corporation,O,2.72,4542298911,12355053038,Holding Firms,Holding Firms,January-December,45580000000,116148000000,136014000000,62512000000,392792000000,24609000000,64462000000,112204000000,192474000000,71944000000,200318000000,133968000000,31732000000,1996000000,8043000000,26133000000,13284000000,51255000000,-10390000000,-16292000000,16396000000,-33284000000,-14656000000,-469000000,-37467000000
LTG,"LT Group, Inc.",O,8.08,10821388889,87436822223,Holding Firms,Holding Firms,January-December,273871000000,571739000000,71813000000,165102000000,1215178000000,3663000000,817869000000,70235000000,965189000000,181684000000,249989000000,97576000000,10526000000,17148000000,24918000000,29112000000,5495000000,25114000000,-8647000000,-63456000000,51900000000,-1430000000,,-3330000000,60412000000
MGH,Metro Global Holdings Corporation,S,,2000000000,2000000000,Holding Firms,Holding Firms,January-December,1000000,9000000,,1515000000,1527000000,,468000000,,1553000000,-27000000,-27000000,29500000,8755900,17926900,28020900,28020900,,65670100,,7524900,1900000,-24100000,,,-72748300
MHC,Mabuhay Holdings Corporation,O,0.5,1200000000,600000000,Holding Firms,Holding Firms,January-December,432000000,,2000000,467000000,1253000000,14000000,,,426000000,661000000,827000000,28891800,-10985400,7517200,-816149100,-799521500,825066,-40591600,0,17296500,,4900000,,,4891900
MJIC,MJC Investments Corporation,O,1.48,3174405821,4698120615,Holding Firms,Holding Firms,January-December,39000000,,4865000000,,6063000000,840000000,,1571000000,5441000000,622000000,622000000,679128900,-585231800,,-583389800,-583389800,315261258,-111280000,-226846100,-351182400,,-1131476913,,,469505900
MPI,Metro Pacific Investments Corporation,O,3.8,31355855752,119152251858,Holding Firms,Holding Firms,January-December,71344000000,103759000000,58161000000,163633000000,612577000000,19384000000,76002000000,235426000000,369429000000,185966000000,243148000000,83784000000,27309000000,10044000000,22204000000,25848000000,8560000000,28690000000,-57449000000,-61115000000,71512000000,-32098000000,-705000000,-5894000000,22116000000
PA,"Pacifica Holdings, Inc.",O,2.88,325000000,936000000,Holding Firms,Holding Firms,January-December,807400,24885800,,,25002400,,125500,,33875500,-8873100,-8873100,559,1067500,,-2774300,-2774300,,2241700,,-33150000,,0,,,31250000
PRIM,"Prime Media Holdings, Inc.",O,0.8,700298616,560238893,Holding Firms,Holding Firms,January-December,2301500,,1000600,500000,43580000,,,,186847500,-143267600,-143267600,1482100,15634300,,25015800,25015800,285859,-29155800,-54400,-24950700,13900000,,,,13880000
REG,Republic Glass Holdings Corporation,O,2.8,682065632,1909783770,Holding Firms,Holding Firms,January-December,1353000000,,4000000,564000000,1935000000,,,,155000000,1781000000,1781000000,82878000,69864000,,73526000,73526000,2602000,21402000,-170000,67416000,,,,-50069000,-50069000
SGI,"Solid Group, Inc.",O,1.01,1821542000,1839757420,Holding Firms,Holding Firms,January-December,3982000000,5395000000,1819000000,4230000000,11697000000,70000000,436000000,,1276000000,10056000000,10421000000,3942000000,-97000000,,159000000,173000000,84729200,760238200,-55893400,-100943300,0,-53200000,,-109292500,-161994800
SGP,"Synergy Grid & Development Phils., Inc.",O,159.5,49466000,7889827000,Holding Firms,Holding Firms,January-December,7505200,8005600,,,8005600,,242000,,242000,7763700,7763700,6600000,8518800,,508700,508700,,811500,,,,,,,
SM,SM Investments Corporation,O,938.5,1204582867,1130501020680,Holding Firms,Holding Firms,January-December,71569000000,249447000000,137070000000,646300000000,1154722000000,87338000000,218735000000,337972000000,616488000000,381005000000,538234000000,477955000000,76274000000,25800000000,42885000000,66846000000,20060000000,52257000000,-19633000000,-44864000000,52895000000,-72601000000,,-20724000000,579000000
SMC,San Miguel Corporation,O,100,2378524978,237852497800,Holding Firms,Holding Firms,January-December,390851000000,723119000000,646251000000,155041000000,1909702000000,249997000000,426594000000,856683000000,1330449000000,325623000000,579253000000,983644000000,96337000000,-149000000,14346000000,36842000000,39399000000,67967000000,-120228000000,-124634000000,279488000000,-79018000000,-29087000000,-10455000000,193325000000
SOC,"SOCResources, Inc.",O,0.64,901920568,577229164,Holding Firms,Holding Firms,January-December,535000000,1682000000,40000000,47000000,1833000000,,190000000,,205000000,1628000000,1628000000,194480700,-30855500,,-12731600,-12731600,4093700,125753800,-8355100,-11352900,,,,,622500
SPM,Seafront Resources Corporation,O,1.8,163000000,293400000,Holding Firms,Holding Firms,January-December,45344400,,,561270700,608081300,,,,62997100,545084200,545084200,31119000,10099000,,10091000,10091000,-15061916,32347100,,4528700,,,,,
TFHI,"Top Frontier Investment Holdings, Inc.",O,136,332886167,45272518712,Holding Firms,Holding Firms,January-December,390983000000,719888000000,701791000000,121428000000,2023324000000,261449000000,449684000000,886269000000,1440885000000,133435000000,582439000000,983620000000,94730000000,-147000000,4980000000,36697000000,42343000000,64935000000,-109005000000,-124222000000,279488000000,-79018000000,-44087000000,,195855000000
